Designator,Mid X,Mid Y,Rotation,Layer
C1,148.0,-109.6,225.0,top
C2,136.587348,-68.512652,225.0,top
C3,113.1,-62.0,0.0,top
C4,163.4,-61.8,0.0,top
C5,112.0,-111.1375,90.0,top
C6,160.0,-114.1,180.0,top
D1,119.5,-65.0,180.0,top
D2,169.5,-65.0,180.0,top
D3,119.5,-115.0,180.0,top
D4,169.5,-115.0,180.0,top
J1,120.575,-89.985,270.0,top
J2,164.5,-90.015,90.0,top
J3,142.495,-70.575,180.0,top
J4,142.505,-109.425,0.0,top
R1,113.1,-68.0,0.0,top
R2,159.8,-64.1,180.0,top
R3,113.8,-118.0,180.0,top
R4,160.0,-116.7,0.0,top
U1,114.0625,-65.0,180.0,top
U2,164.0625,-65.0,180.0,top
U3,114.0625,-115.0,180.0,top
U4,164.0625,-115.0,180.0,top
U5,130.537259,-67.162563,225.0,top
U6,155.9,-107.7,45.0,top
